,0,1,compf
0,0,53,1
1,1,86,1
4,2,64,1
5,2,95,1
6,3,21,1
7,3,29,1
8,4,93,1
9,5,0,1
10,5,54,1
13,6,55,1
14,6,68,1
19,8,17,1
24,9,92,1
26,11,91,1
27,11,95,1
28,12,39,1
29,12,94,1
30,12,97,1
33,13,81,1
35,15,35,1
37,15,58,1
42,16,35,1
43,16,38,1
44,16,92,1
45,17,13,1
46,17,23,1
54,18,92,1
55,19,20,1
56,19,53,1
57,20,6,1
58,20,32,1
60,20,98,1
61,21,13,1
62,21,48,1
65,22,13,1
68,22,88,1
69,23,4,1
73,25,13,1
76,26,37,1
77,26,70,1
78,26,74,1
79,26,90,1
80,27,12,1
81,28,18,1
82,28,37,1
84,28,96,1
85,29,35,1
86,29,49,1
88,29,91,1
89,30,8,1
90,30,24,1
92,30,95,1
95,31,81,1
96,31,83,1
97,32,42,1
99,32,51,1
100,32,82,1
101,33,73,1
105,34,59,1
106,35,8,1
108,35,56,1
109,35,85,1
110,36,4,1
112,37,40,1
113,37,69,1
117,39,92,1
118,40,8,1
124,43,44,1
130,45,73,1
132,45,82,1
134,46,50,1
140,47,64,1
144,48,43,1
145,48,54,1
147,49,5,1
150,50,15,1
151,50,49,1
153,50,73,1
154,51,6,1
155,51,20,1
156,51,47,1
159,52,68,1
162,53,10,1
169,56,53,1
172,57,50,1
173,57,56,1
174,58,24,1
176,59,2,1
178,59,93,1
179,60,1,1
180,60,37,1
184,61,17,1
185,61,29,1
186,61,32,1
191,63,76,1
192,64,17,1
193,64,20,1
194,64,31,1
195,65,76,1
196,66,3,1
198,66,64,1
199,66,79,1
200,66,86,1
201,67,4,1
202,67,17,1
203,67,60,1
204,68,0,1
205,68,28,1
208,69,23,1
209,69,46,1
211,72,30,1
212,72,40,1
213,73,14,1
216,73,44,1
218,73,99,1
222,75,84,1
223,75,86,1
224,75,98,1
225,76,62,1
226,76,65,1
229,76,92,1
233,78,9,1
235,78,23,1
237,79,7,1
238,80,0,1
241,81,52,1
243,82,33,1
246,83,16,1
248,84,67,1
250,85,23,1
251,85,67,1
254,87,13,1
255,87,15,1
257,87,74,1
259,88,21,1
261,89,28,1
263,89,99,1
268,90,86,1
269,91,21,1
271,92,25,1
273,92,53,1
274,92,74,1
275,92,99,1
278,93,85,1
279,94,32,1
280,94,38,1
281,94,90,1
283,95,79,1
284,95,82,1
286,96,39,1
288,96,87,1
291,97,1,1
292,97,13,1
293,97,22,1
295,98,24,1
296,98,30,1
299,99,87,1
